,Equiponderado,Referencia_60_40,Markowitz,Min_CVaR,Min_CDaR,HERC
0,0.4581171056690685,0.38157363428679136,0.4281686915630565,0.7600104973868931,0.7496704627545364,0.5887560632016905
1,0.3728284390048021,0.30835623871826623,0.5398739130469208,0.44629874177233636,0.48262025641164585,0.49954717364644446
2,0.4833735173669489,0.3769732486196065,0.6014267421461316,0.5325083150130315,0.537421070655519,0.5504561230765151
3,0.31879200159322935,0.17566573378289674,0.3525343361324195,0.2568100245183383,0.20305983707163944,0.2647862930565245
4,0.6037625315306837,0.4596288126294249,0.6162084965129954,0.5714612254607069,0.5630269365987001,0.6204982620727717
5,0.5935349651572795,0.9217697712822462,0.5449545527702067,0.6323773485838068,0.638970786841837,0.8880765223175953
6,0.7891953146151703,1.0405426164848035,0.8390403463685584,0.7654545730784099,0.727293216864536,0.9941473755166484
7,0.4299035948090745,0.5379244612042549,0.5937982907297529,0.3827148063764294,0.2736032953126105,0.40737542117713377
8,0.9083976044515892,1.0564015002575917,1.0740197849467985,0.772249674716151,0.7474296465999891,0.9344256306284038
9,0.723763204101695,1.029044913981462,0.8876329944619592,0.4262666063058739,0.3719496248090289,0.8434107740845899
10,0.3262717109878986,0.46887867827987495,0.6398140947269353,0.1455232192712719,0.01462959820034832,0.2811979602901871
11,0.8515697762172573,1.0305197569310072,1.1647988262021278,0.502522307751024,0.41337256138826706,0.7970701283866276
12,0.46998623664864186,0.5459146993202935,0.76702983038882,0.21678101170000477,0.039644069218010794,0.32299908652587156
13,1.0629621505623235,1.1487934605067325,1.28798718309143,0.5537078306479772,0.5018677288930216,0.8753873217827056
14,0.612667371492485,0.6205309477388384,0.6441866564977137,0.28048166729579355,0.5184984969597809,0.375951905441783
