,DRO_Wasserstein,Min_CVaR_ExAnte
0,0.47635724989055733,0.757008691295868
1,0.38869156905541,0.5610328241065276
2,0.5008592086340798,0.5465173995368456
3,0.3226602046612239,0.17366234354443058
4,0.6201761741290751,0.5457789300134678
5,0.6213369036540299,0.7417777605985898
6,0.821654378775931,0.73997977700184
7,0.44173895627516957,0.27346771500512046
8,0.9250341430666188,0.97266907198028
9,0.7288777337290385,0.48904209210461075
10,0.3244419641450379,0.07476899023538175
11,0.8397290574686734,0.6906561602311705
12,0.4653963894140536,0.03795112440042089
13,1.0404302566840256,0.9486406124846358
14,0.6031508389514708,0.3815120564038059
