,Equiponderado,Referencia_60_40,Markowitz,Michaud_Remuestreado,Min_CVaR,Min_CDaR,HERC,Ensamble_Equal
CAGR (%),7.817039682868621,9.607602706842066,11.355442535999671,10.444085109662371,5.071987635747477,5.111610222670548,6.772210159863956,8.125537633263047
Retorno Acumulado (%),247.24761658390298,355.98671006704564,492.36927425893066,417.0858158865485,126.66647773494874,128.08437018418118,195.59026919850754,264.0516292897127
Volatilidad Anual (%),9.487331943011855,9.789424152865864,17.051321966137582,13.612888426641625,5.324769544876977,6.378391263712892,7.353534259817921,8.538121292755612
Desviación a la Baja (%),10.098785539038284,10.337770154038902,18.592901814612468,14.758333676959145,5.544755342174651,6.725281655675289,7.8191898793524715,9.163934960081505
Ratio de Sharpe,0.6131375731143585,0.7771246385942867,0.5486637666322149,0.6203007653494427,0.5769240546199924,0.4878362104207551,0.6489682363949604,0.7174338971338363
Ratio de Sortino,0.576013785061781,0.7359036420315288,0.5031728037549833,0.5721570805005824,0.5540348394421032,0.4626735922717441,0.6103202804251577,0.6684396670148961
Ratio de Calmar,0.37429905464960983,0.45305112607956527,0.28864088492529355,0.36638744333972245,0.31066421398182037,0.2633206627837993,0.3204584607235813,0.3684524379158967
Ratio de Omega,1.1206758253548448,1.1557475606007703,1.114026163293546,1.1245610998915287,1.1069623793772523,1.09489195161556,1.125393823842585,1.1378486108811234
Ratio Ganancia/Pérdida,1.1634582211652564,1.1995211707137599,1.1374343682383854,1.154223969250801,1.1807025421324284,1.157677842666195,1.1807953806653595,1.185513990308429
PSR (vs 0) (%),99.30981522619088,99.91132573819434,98.64121837130659,99.36795358386176,99.02666737777994,97.57631833101252,99.55265971854782,99.8031236452135
DSR (%),94.88387550297125,99.59103898357245,94.9917107379677,97.72905758079663,96.91246430228638,92.61216608315054,98.30244858281881,99.12976858825907
Retroceso Máximo / Max DD (%),-20.884476158205466,-21.206442614944017,-39.34107442519345,-28.505575994803912,-16.326269352814105,-19.412112094171132,-21.1328798889335,-22.053152041072366
CDaR 95% (%),-14.801607710554872,-15.548941590115414,-35.64214136108145,-25.519295048838668,-12.820268091734786,-15.836910526242152,-15.382657441609252,-18.322242865293358
VaR 95% Diario (%),-0.8989354428428872,-0.9384927408701884,-1.74450947557509,-1.4054180754425583,-0.5203342243037643,-0.6109904563167129,-0.7178004870265997,-0.8534182322553409
CVaR 95% Diario (%),-1.4024958340115787,-1.4715423572182877,-2.708838347391572,-2.1165884262605803,-0.7871602948072246,-0.970066096822769,-1.0935819433003422,-1.292375735526381
VaR 99% EVT (%),-1.5382542542258468,-1.5622344561675565,-2.8680565234007083,-2.278698972631659,-0.833929703538089,-0.9873573734170985,-1.1737444946703428,-1.3893499895095227
CVaR 99% EVT (%),-1.9589994657723968,-1.9790939329811523,-3.5592953410072257,-2.8301845697967427,-1.045298750933252,-1.254810339778625,-1.5269509668632693,-1.745748575174475
Coeficiente de Asimetría,-0.5475403585583823,-0.3077576325721543,-0.5294238889732297,-0.5245749649535886,-0.17344075101754153,-0.2908850276328737,-0.36836429072478594,-0.44796643006599135
Curtosis de Exceso,9.099011394798408,9.743158647213361,4.087773548666133,4.886253796267725,3.6904509969214345,5.555340971108128,7.756990818345869,5.169174111725184
Rotación Anualizada (%),0.0,0.0,288.75334828922354,503.76399047004287,66.3696230413145,261.0167422012279,31.429575256658225,119.72842086106176
Nº Efectivo de Activos (N_eff),8.999999999999998,1.9230769230769234,1.3139121378739362,2.6535572482624814,1.8416443553852544,2.15985250748816,6.464185496928009,5.22241385564468
