Date,Equiponderado,Referencia_60_40,Markowitz,Michaud_Remuestreado,Min_CVaR,Min_CDaR,HERC
2010-01-05,0.0022428413545935106,0.002844401705829947,-0.0006032777182686407,0.0005899451097484956,0.0028543503196097686,0.002570285209507633,0.003111059063849204
2010-01-06,0.000976412193081035,-0.0011937644904676554,0.01335762512050998,0.006202685849727757,-0.0016767747641824246,-0.0018233393339430188,-0.002371713855693954
2010-01-07,-0.0006914780965442748,0.0025358448005937083,-0.005257291584107425,-0.002200370207539923,-0.0009310890709833173,-0.0006818634684990385,0.00012963069500657328
2010-01-08,0.00213787121981432,0.0024957008219397177,0.0043999497730867225,0.002486663528359769,0.0022673255193514253,0.002755168364243766,0.0017589632842555042
2010-01-11,0.0008430562840266099,0.001109370149981484,0.01138807927388253,0.005950193336285974,0.0009165587521577173,0.0014922909639631143,0.0002397303537607866
2010-01-12,-0.007927333440055022,-0.0027599819264006544,-0.016722793934249747,-0.012699016644925731,0.0012256273902672829,0.0006603673748235482,-0.0003898745516443512
2010-01-13,0.0037173658308594535,0.003128466052511963,0.0073192171721208725,0.006468761067201935,-0.0014903610524660198,-0.0004619438879198594,-0.0006031283756221067
2010-01-14,0.002408310687203963,0.0035024486442891633,0.004440526456649533,0.003661800066109006,0.0037434117135013677,0.004071344015088163,0.004271255441185952
2010-01-15,-0.005921200291164907,-0.004967653376501519,-0.008194024421072805,-0.0070974428167381275,0.0005703485278424267,0.00016900024329943392,-0.0014049533001365636
2010-01-19,0.008605705558799609,0.006749014764205856,0.004771858687995884,0.007752597207470402,0.0013126949624325819,0.001856402417730254,0.003842121908153126
2010-01-20,-0.00981970664308926,-0.004732303572622911,-0.01909794007498986,-0.01445628038742156,-0.0017671604564130107,-0.0025339843252865724,-0.0031918357272447376
2010-01-21,-0.011386400352326614,-0.01001607384793502,-0.011604307743949846,-0.012739558276316124,9.946038145520726e-05,-0.00047652689638859986,-0.003895749276152248
2010-01-22,-0.01245998243007538,-0.012834878548737844,-0.0014296232109364823,-0.008313358523432441,-0.003296654464090183,-0.003933975288794951,-0.006826422675024653
2010-01-25,0.0024950279494633347,0.0020931908222243277,0.002086372095371806,0.0024625285586812764,-0.0008366712127189316,-0.0007832409024323331,0.00017918086973569208
2010-01-26,-0.00472535442066218,-0.0016437253916534098,0.0009405879985071685,-0.002444511005555196,0.0010205438589350666,0.0016679044153830196,-0.0016722750059490628
2010-01-27,-0.0012683521340966092,0.0018317298007968002,-0.008432169554854438,-0.004011170884575579,-0.002304254944941811,-0.0017091976982371887,-0.001412576117834264
2010-01-28,-0.006469344482220539,-0.006885285005411512,-0.0004475625687137381,-0.00391673246893367,-0.003339900710483771,-0.004080149599307168,-0.004128141092413348
2010-01-29,-0.004358202420984761,-0.0047581812994307495,-0.0034947324559998472,-0.003823123280936656,0.00038678012367651275,-0.00024109111434057726,0.00012539086401804273
2010-02-01,0.01071244853601915,0.007615635678253585,0.018404169202827766,0.014848650818978222,0.0010973522792738044,0.0016907226019740548,0.0029010506446334227
2010-02-02,0.0086468608425962,0.007787235554772226,0.006333685345304638,0.007913081363070293,0.0037766748038649527,0.0034007294623091956,0.0054870895480850085
2010-02-03,-0.006153430966658276,-0.004892979690665116,-0.004068520450454205,-0.006258145982457462,-0.0037612701688031942,-0.003205029124175416,-0.005365852711650535
2010-02-04,-0.02125195555299633,-0.015236672531905625,-0.026551540561215635,-0.024613075732172515,-0.0019432609177293225,-0.0010584498343751624,-0.007277573033175482
2010-02-05,0.0011495845638955806,0.002532076765117194,0.003036820699369335,0.0016951779882694046,0.0027911806455408264,0.001965358757426613,0.0018260234455205414
2010-02-08,-0.0055526876413469605,-0.004621527359557271,-0.004614526741020574,-0.0050664378037296315,-0.0018367971074545932,-0.001577359949437901,-0.0029155991419864864
2010-02-09,0.0069889534785645266,0.0051723797448223335,0.007828594119867327,0.007652266203622869,-0.0011385909175673629,-0.0008464489156336172,0.0006073727025377089
2010-02-10,-0.002673769190253125,-0.0022886510562393153,-0.0027564186856246778,-0.003718637550580909,-0.0025962150601534415,-0.002045720060740679,-0.0038525623775895784
2010-02-11,0.009664649575783623,0.005711228234643507,0.013347690170199452,0.01248224190177068,0.0028553251559501436,0.002318038460244619,0.004306459402327435
2010-02-12,0.00015960150872982096,0.00044809668601248265,4.8545703793353013e-05,-0.00017792454633907921,0.0016554647989678339,0.0012715605490708293,0.0014946769154721646
2010-02-16,0.01604388939990673,0.010263753748928989,0.017967813360713934,0.01714779493738557,0.0064085217777986835,0.006589544186886249,0.009258301486251
2010-02-17,-0.0006124446933318648,0.0007020959280890325,-0.003910512541803675,-0.0027646495885808413,-0.0038056003436495586,-0.0039024079814812,-0.003007448525869202
2010-02-18,0.004285400585929981,0.002119814339811806,0.0038584097098454074,0.0038337145290319383,-0.0009399542711808256,-0.0010379653644791076,0.0008684153573898802
2010-02-19,0.00048376671504973844,0.0014727792545606688,-0.0032154771946296032,-0.002170568881086894,0.00042414973851552377,0.0008608815651942319,0.0013479251338905705
2010-02-22,-0.0012741095745095782,-0.0002011949493082431,-0.0028652447845115645,-0.001950743723632974,-0.0013056445499866846,-0.0013674357378421695,-0.0012089272786052927
2010-02-23,-0.006473488707467756,-0.004321301687777161,-0.005750644609925012,-0.005858714107165709,0.0024472609082871913,0.0022610938652786773,0.00041060825918089986
2010-02-24,0.005535025547801674,0.00573165600978785,-0.0033876713187150904,-6.944852359363669e-05,0.0017736195641975617,0.002562950130030935,0.003776637520627483
2010-02-25,-0.0006409563751718554,0.0006455029712578777,0.0073950915272590545,0.004627317353052819,0.0024278548955846153,0.0009166812048649995,0.0012908167730413447
2010-02-26,0.006062203512429713,0.0009985135762413592,0.007887572015354852,0.007654231650538385,0.00338211978316726,0.0035403814622456415,0.004514452404959549
2010-03-01,0.004674175465353032,0.006642465486349776,0.00028787197790357445,0.0024626230193594283,0.002024067523791891,0.0016825546459626262,0.0030194074772644944
2010-03-02,0.004868100510167953,0.0018875156166276716,0.010652324357720126,0.008715858700437814,0.0024189091809097927,0.0020339618046032967,0.002631298935974368
2010-03-03,0.0015768696922722589,0.0001415955910211159,0.0037125616490543073,0.002778217248644375,0.0003655447915291554,0.0003792146573629858,0.0005026845033351231
2010-03-04,-0.0001099145306878125,0.0025271225750355154,-0.004724352673109176,-0.003092117302155797,0.0007249985653330526,0.000750638456415708,0.0011755592926872315
2010-03-05,0.008455264661705588,0.006738464432063591,-0.0014357044184178016,0.0022846912269059885,-0.0011385603959019794,-0.0002762786284803498,0.0017603972202660057
2010-03-08,-0.00033366879102332135,-0.0009664233496473717,-0.007278077363313688,-0.003946838153779444,-0.00231986418709014,0.00022944467121841563,-0.001176603561479317
2010-03-09,0.000529724584150838,0.0020190734212036567,-0.0006669302345118115,-0.0003137156739324281,0.0018361684639304685,0.0015043795611215662,0.0010352256695752493
2010-03-10,0.001905994161257568,0.0020111907322002405,-0.009472434445392742,-0.003254408621513105,-0.0009218561849895614,0.0014706922805069473,0.00048066729782847385
2010-03-11,0.00170857528726186,0.002159582494248812,0.0007834859078913239,0.0009082289995823887,-0.00023651966907377542,0.00027744671512823916,0.0010359657875752646
2010-03-12,0.0003536349553177418,0.0006693824736100987,-0.004487955370119216,-0.002229735064155681,0.0005212368535362315,0.0015411688513474644,0.0014484797305604122
2010-03-15,-0.0023823192219023653,0.0001569126091268085,0.003039306934337471,-0.0008743242922595027,-0.0005743059669761496,-0.0005880539968991659,-0.00122433939058895
2010-03-16,0.011124354937580964,0.006344309128250387,0.015849864456018017,0.013059892915157367,0.005727030024503292,0.004729913785638736,0.007915927179384295
2010-03-17,0.00507319325287744,0.0040607508003131735,-0.005653500402089629,0.0005917809187965039,0.0012146233566336694,0.002668780023361127,0.0035805076500019066
2010-03-18,-0.0015281618658501068,-0.0013565073635288015,0.004962270848799125,0.000819658960275465,-0.001188690848972501,-0.0011519601868684199,-0.001792259815273224
2010-03-19,-0.007436126906397691,-0.003588811720323527,-0.015258775319379823,-0.011064996178827755,-0.003649348789502214,-0.00199754540463767,-0.004127966438415729
2010-03-22,0.0036338130325953405,0.004546979685649515,-0.0032550913384582396,-0.000210625391503368,0.0031774406997177405,0.0036499659589564488,0.0032709146124914826
2010-03-23,0.001297066067144242,0.003426478006063924,0.0038064599919679616,0.002211379439608633,-0.0005323881372528572,0.000350348023541198,-0.00023752004074675822
2010-03-24,-0.0092298246433045,-0.006860547107310754,-0.016914401668387653,-0.014487174726032575,-0.009917762360511067,-0.007726907621402173,-0.009767089225907823
2010-03-25,-0.0019807623513472894,-0.0024338078719873604,0.0028661881311748045,-0.0005000076660338366,-0.002911696037033738,-0.003193110102844505,-0.0029524857211989854
2010-03-26,0.0028633801466564994,0.000555887444058441,0.014036076636400231,0.008466259344360388,0.0032609232595223543,0.0024039067631302967,0.002645303956467376
2010-03-29,0.005513516660468818,0.0032909308247695444,0.0008955119804504369,0.004710044098224642,0.0006208124411444105,7.722130787724078e-05,0.0017890367401779818
