Date,SPY,QQQ,EEM,VNQ,TLT,IEF,LQD,GLD,DBC
2007-01-03,98.86952209472656,37.03887939453125,25.692628860473633,34.29820251464844,48.232452392578125,50.14033889770508,49.30422592163086,62.279998779296875,19.330032348632812
2007-01-04,99.07930755615234,37.74129104614258,25.337825775146484,34.34265899658203,48.52495193481445,50.32231903076172,49.674766540527344,61.650001525878906,18.82647705078125
2007-01-05,98.28903198242188,37.561405181884766,24.596988677978516,33.70667266845703,48.313751220703125,50.158538818359375,49.64237594604492,60.16999816894531,18.76150131225586
2007-01-08,98.74362182617188,37.587100982666016,24.77550506591797,33.755592346191406,48.4003791809082,50.194915771484375,49.62849426269531,60.47999954223633,18.858964920043945
2007-01-09,98.65968322753906,37.77555847167969,24.222118377685547,34.182559967041016,48.4003791809082,50.18283462524414,49.63774490356445,60.849998474121094,18.69652557373047
2007-01-10,98.9883804321289,38.22096252441406,24.166330337524414,34.62284469604492,48.18372344970703,50.097877502441406,49.57289505004883,60.59000015258789,18.420381546020508
2007-01-11,99.42200469970703,38.61499786376953,24.472030639648438,35.07202911376953,47.90211486816406,49.96449661254883,49.42005157470703,60.630001068115234,18.396015167236328
2007-01-12,100.17737579345703,38.81203842163086,24.96963882446289,35.183204650878906,47.68009567260742,49.86140823364258,49.36906814575195,62.16999816894531,18.82647705078125
2007-01-16,99.98149108886719,38.78630828857422,25.058895111083984,35.68132019042969,47.78302001953125,49.958396911621094,49.424644470214844,61.970001220703125,18.396015167236328
2007-01-17,100.02348327636719,38.46937942504883,24.95402717590332,35.66797637939453,47.63675308227539,49.86140823364258,49.355194091796875,62.63999938964844,18.558454513549805
2007-01-18,99.68775939941406,37.75840759277344,24.690715789794922,35.6235237121582,47.78302001953125,49.92810821533203,49.49878692626953,62.2599983215332,18.363529205322266
2007-01-19,99.88360595703125,37.835514068603516,25.134775161743164,35.97928237915039,47.65304183959961,49.84926986694336,49.47099685668945,63.0,18.63967514038086
2007-01-22,99.57586669921875,37.42434310913086,25.105754852294922,35.67687225341797,47.766719818115234,49.94025421142578,49.50341796875,62.720001220703125,18.655916213989258
2007-01-23,99.8696060180664,37.33012390136719,25.677003860473633,35.84587478637695,47.452632904052734,49.79469680786133,49.36906814575195,64.2300033569336,19.24881362915039
2007-01-24,100.6738510131836,37.94685363769531,25.9001407623291,36.312843322753906,47.44721603393555,49.800777435302734,49.39226150512695,64.33000183105469,19.086374282836914
2007-01-25,99.4919204711914,37.45859909057617,25.103530883789062,36.53522872924805,47.10600662231445,49.60670852661133,49.234764099121094,64.05999755859375,18.915815353393555
2007-01-26,99.40100860595703,37.32157897949219,25.257495880126953,36.6552848815918,47.06812286376953,49.60063934326172,49.20232009887695,64.16999816894531,19.151351928710938
2007-01-29,99.34507751464844,37.35580062866211,24.92279052734375,36.77537536621094,46.9651985168457,49.56425857543945,49.1792106628418,63.77000045776367,18.76150131225586
2007-01-30,99.86257934570312,37.37295150756836,25.308828353881836,36.95774459838867,47.01939392089844,49.61279296875,49.248661041259766,64.22000122070312,19.281299591064453
2007-01-31,100.53397369384766,37.74985122680664,25.505191802978516,37.251251220703125,47.41471481323242,49.79469680786133,49.45707702636719,64.83000183105469,19.484346389770508
2007-02-01,101.13542175292969,37.68988037109375,25.817584991455078,37.39800262451172,47.357627868652344,49.75880432128906,49.43709945678711,65.22000122070312,19.411252975463867
2007-02-02,101.27529907226562,37.826942443847656,25.739490509033203,37.46471405029297,47.41742706298828,49.80141067504883,49.48359298706055,64.27999877929688,19.663026809692383
2007-02-05,101.3033218383789,37.79267501831055,25.7640323638916,37.46471405029297,47.482696533203125,49.856197357177734,49.548728942871094,64.30999755859375,19.598052978515625
2007-02-06,101.33126068115234,37.74129104614258,26.018415451049805,38.016212463378906,47.743736267089844,49.99619674682617,49.67897415161133,64.79000091552734,19.500587463378906
2007-02-07,101.5550765991211,38.08390808105469,25.917999267578125,38.81226348876953,47.88507080078125,50.10578918457031,49.748741149902344,64.62999725341797,19.265056610107422
2007-02-08,101.42214965820312,38.075347900390625,25.779645919799805,38.51430130004883,47.92315673828125,50.117916107177734,49.80457305908203,65.5199966430664,19.71175765991211
2007-02-09,100.66683197021484,37.587100982666016,25.471715927124023,38.06956481933594,47.65122985839844,49.965721130371094,49.595272064208984,66.12000274658203,19.833585739135742
2007-02-12,100.32418060302734,37.44148254394531,25.297666549682617,37.380226135253906,47.54249954223633,49.89882278442383,49.60454559326172,65.66999816894531,19.45998191833496
2007-02-13,101.17044067382812,37.56997299194336,25.69931983947754,38.105133056640625,47.43918991088867,49.86228942871094,49.57196807861328,65.83999633789062,19.81734275817871
2007-02-14,101.83480834960938,38.203853607177734,26.25271987915039,37.833858489990234,47.89052200317383,50.14834213256836,49.8557243347168,66.37000274658203,19.5493221282959
2007-02-15,101.9676742553711,38.42654800415039,26.268329620361328,38.11404037475586,48.031917572021484,50.22753143310547,49.948768615722656,66.41000366210938,19.5493221282959
2007-02-16,101.91871643066406,38.29805374145508,26.32857894897461,38.016212463378906,48.20048522949219,50.282318115234375,49.99989318847656,66.36000061035156,19.89043617248535
2007-02-20,102.13556671142578,38.589298248291016,26.397756576538086,38.30972671508789,48.30923080444336,50.34321212768555,50.07900619506836,65.30999755859375,19.6711483001709
2007-02-21,102.09359741210938,38.7092170715332,26.475854873657227,38.18519973754883,48.2276725769043,50.33711624145508,50.046470642089844,67.3499984741211,20.093486785888672
2007-02-22,102.01665496826172,38.90624237060547,26.408920288085938,37.98060989379883,47.96666717529297,50.20927429199219,49.97667694091797,67.1500015258789,20.36962890625
2007-02-23,101.61802673339844,38.769187927246094,26.219247817993164,37.31796646118164,48.30923080444336,50.41008758544922,50.13945770263672,67.72000122070312,20.49958038330078
2007-02-26,101.52709197998047,38.58073043823242,26.208080291748047,37.13115692138672,48.630062103271484,50.56844711303711,50.34415817260742,68.0999984741211,20.556432723999023
2007-02-27,97.56169891357422,36.99604034423828,24.07707405090332,35.97928237915039,49.24452209472656,50.99453353881836,50.539493560791016,65.41000366210938,20.16658592224121
2007-02-28,98.56175994873047,37.11595916748047,24.6795654296875,36.24615478515625,49.02159118652344,50.8180046081543,50.44646453857422,66.4800033569336,20.47521209716797
2007-03-01,98.26802825927734,36.944664001464844,24.32476043701172,35.881446838378906,48.9904670715332,50.86381530761719,50.456275939941406,65.81999969482422,20.329021453857422
2007-03-02,96.98120880126953,36.387847900390625,24.09939193725586,35.31220245361328,49.2360954284668,51.028682708740234,50.59642791748047,63.709999084472656,20.1422176361084
2007-03-05,96.05799865722656,36.10520553588867,23.481281280517578,33.93794631958008,49.3179817199707,51.05925750732422,50.521697998046875,62.93000030517578,19.841707229614258
