Date,DRO_Wasserstein,Min_CVaR_ExAnte
2010-01-05,0.002381444250126398,0.0027515313167845515
2010-01-06,0.000648110961231977,-0.001972364699303435
2010-01-07,-0.0008827659707062891,-0.00026157012184418896
2010-01-08,0.0021354364938751943,0.00134471405343049
2010-01-11,0.0008227807780749673,0.0001715316075884824
2010-01-12,-0.0062125393821976585,0.00016916774538398242
2010-01-13,0.0023768348155603497,-0.0006157905391928589
2010-01-14,0.0031439487108403403,0.0028843128018086737
2010-01-15,-0.004909953664076181,-6.469111199681815e-05
2010-01-19,0.0069781497609622415,0.0027183053319127597
2010-01-20,-0.008358223453932948,-0.001966797490255851
2010-01-21,-0.009090340985583888,-0.0015251848628778555
2010-01-22,-0.010487394657405422,-0.005403450909694667
2010-01-25,0.0017827210097153983,-0.0002024878368939322
2010-01-26,-0.0036820421354905025,-0.00043021166257550337
2010-01-27,-0.0018240169930967835,-0.001654016567007035
2010-01-28,-0.005654259139615095,-0.004036589736011927
2010-01-29,-0.003110902839026905,-0.00010483695244818572
2010-02-01,0.008800031865957883,0.0017464645149893755
2010-02-02,0.007946095567286498,0.005090544909327253
2010-02-03,-0.005944909819211792,-0.004735070565120722
2010-02-04,-0.017922981034232663,-0.0011220553038019097
2010-02-05,0.0010032334224405006,0.00233198390946342
2010-02-08,-0.004450065899643084,-0.001825193581093864
2010-02-09,0.005468211610459341,-0.001749885493510422
2010-02-10,-0.0031454227616312313,-0.002729084753693141
2010-02-11,0.008350719752727423,0.0021037212185036694
2010-02-12,0.00039901002279768333,0.0017963980119068343
2010-02-16,0.01447448077997585,0.006292566617751013
2010-02-17,-0.0016752901247262593,-0.003702233015783113
2010-02-18,0.0034232795105285157,-0.0008729242031834489
2010-02-19,0.000866023227438909,0.0009920766569232406
2010-02-22,-0.0015470845019827108,-0.0009933027770146798
2010-02-23,-0.004671115479026465,0.002803830609876958
2010-02-24,0.004778736597052376,0.002332360527231627
