Activo,Nombre Activo,Clase,Retorno Anual (%),Volatilidad Anual (%),Asimetría (Skew),Curtosis Exceso,JB Estadístico,JB p-valor,Q(10) Retornos (p-val),ARCH Q(10) (p-val),ADF Log-Precios (p-val),ADF Retornos (p-val)
SPY,S&P 500 (SPY),Renta Variable,10.349729878444156,19.625299157565717,-0.30042879958804725,13.91839132694529,39819.28973964782,0.0,5.218048215738236e-15,0.0,0.990422063157876,1.1053802666600038e-28
QQQ,Nasdaq 100 (QQQ),Renta Variable,14.953191421727444,22.256439659790065,-0.2585307712342862,7.293169035193234,10967.731390195717,0.0,2.6423307986078726e-14,0.0,0.9823294960742784,4.2776846487069564e-30
EEM,Emergentes (EEM),Renta Variable,4.6780911129198675,27.98934939142141,0.03284307383725406,16.117354699641812,53296.85019559678,0.0,0.0,0.0,0.5204425783440447,1.1819760239793388e-24
VNQ,Bienes Raíces (VNQ),Bienes Raíces,5.422409965348439,29.580521427842026,-0.5199869917742668,17.869824841555733,65737.9001105988,0.0,0.0,0.0,0.8625167191148855,8.386357360743593e-26
TLT,Tesoro 20Y+ (TLT),Renta Fija Soberana,2.7109501764396144,15.046732132902141,0.008444694167694009,3.2030576542451215,2104.9820127752464,0.0,9.775221242014354e-06,0.0,0.2256932463253109,1.025355366217443e-25
IEF,Tesoro 7-10Y (IEF),Renta Fija Soberana,3.1413445935809055,6.924835162535005,0.11532760299159335,2.594766036602901,1392.2635868962493,4.718494227352742e-303,0.004758023770324082,0.0,0.08024321303748222,0.0
LQD,Crédito Corporativo (LQD),Renta Fija Crédito,3.9370639437968107,8.79124408079733,-0.44610000000812006,56.877856314794165,663896.0591869463,0.0,5.551115123125783e-16,0.0,0.5319264383170831,7.4187234791147905e-25
GLD,Oro (GLD),Metales Preciosos,9.140456719136543,18.14899843355854,-0.42825860108807784,7.079500285979259,10433.329424447636,0.0,0.46779702596454253,0.0,0.864773335370602,0.0
DBC,Materias Primas (DBC),Materias Primas,2.1547636121327702,19.351814486392364,-0.4929189765216878,3.354652680894845,2508.2796663944728,0.0,0.9887976182921283,0.0,0.7231447079404435,0.0
