,SPY,QQQ,EEM,VNQ,TLT,IEF,LQD,GLD,DBC
Equiponderado,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
Referencia_60_40,0.6,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0
Markowitz,2.9507263305821573e-16,0.6931768308972562,0.0,0.0,0.0,0.0,0.0,0.30682316910274343,0.0
Michaud_Remuestreado,0.011894327433416339,0.6460403783780322,6.01342380167707e-17,0.012494452898220688,0.0375791402797458,6.673751683624434e-17,4.067610941612604e-17,0.29199170101058486,4.0084051093984865e-17
Min_CVaR,0.12339073011521139,0.0,0.0,0.0,0.0,0.7802388098623669,0.0,0.0008280915499983885,0.09554236847242326
Min_CDaR,0.06912084934394981,0.0,0.0,0.0,0.0,0.7009445861653254,0.12929493210468876,0.0,0.10063963238603596
HERC,0.07657995761517297,0.0821380864126945,0.053783869432197394,0.07535223647278233,0.1034812249500509,0.31424714639598256,0.17527616080967393,0.06146784087259671,0.05767347703884872
