,Equiponderado,Referencia_60_40,Markowitz,Michaud_Remuestreado,Min_CVaR,Min_CDaR,HERC,Ensamble_Equal
CAGR (%),7.808666895172456,9.59909301816615,11.346791212167794,10.43550396005115,5.063828146024729,5.103444741151719,6.763918671733027,8.14988280214013
Retorno Acumulado (%),246.8018709565459,355.40152883880694,491.6085475355607,416.42172022056866,126.37552094674463,127.79148885340047,195.21084106362832,265.40973818123507
Volatilidad Anual (%),9.487355590503059,9.789432515810912,17.051358928391476,13.612938536229201,5.324797688648277,6.37845763619564,7.353559981434582,8.521359685762622
Desviación a la Baja (%),10.099173468684063,10.338104963735127,18.593262528831794,14.758711851126884,5.545119723267667,6.7256810642010985,7.819568618969089,9.150133276044038
Ratio de Sharpe,0.6122535241523983,0.7762547017810129,0.5481552087091932,0.6196681148306862,0.5753886485784017,0.486550968613587,0.6478384189100813,0.7217020556490854
Ratio de Sortino,0.5751626024826895,0.7350566709104701,0.5026977485889911,0.5715609902233485,0.5525269604493327,0.46143204108658664,0.6092303685623375,0.6721085493083622
Ratio de Calmar,0.37378590662985317,0.4525167912457082,0.2883720378224134,0.36600573822274757,0.30999423592174896,0.2628273100706572,0.31996815670604023,0.3693161096693546
Ratio de Omega,1.1205105037259697,1.1555792280721235,1.1139348277977728,1.1244457897377733,1.1066824614036974,1.0946519610549392,1.125180964444025,1.1384807612782102
Ratio Ganancia/Pérdida,1.1632865881225345,1.199347129529546,1.1373412756946477,1.1541058567550442,1.1804047756786207,1.1574243265424538,1.1805725763618102,1.1862153341658894
PSR (vs 0) (%),99.3030485289583,99.91027982832902,98.63415779066881,99.36346816762189,99.01044884707191,97.54674257236276,99.54673250119724,99.81368783185764
DSR (%),94.84682143748225,99.58679086114644,94.97803523570998,97.71896161515976,96.86864918595687,92.53162514657038,98.28151527182708,99.15921543612848
Retroceso Máximo / Max DD (%),-20.890747234365634,-21.212678079284842,-39.34775125165024,-28.511858887032542,-16.335233237378578,-19.41748268009034,-21.139349432034717,-22.067498786978575
CDaR 95% (%),-14.808886954287983,-15.555263979698061,-35.65024933582032,-25.526280155787212,-12.832016222018636,-15.845267974877386,-15.390738236774462,-18.344880182308458
VaR 95% Diario (%),-0.8989354428428872,-0.9384927408701884,-1.74450947557509,-1.4054180754425583,-0.5203342243037643,-0.6109904563167129,-0.7178004870265997,-0.8536235024820104
CVaR 95% Diario (%),-1.4025390609890422,-1.4715759052402353,-2.7088718401003242,-2.116625879031268,-0.7871941119102414,-0.9701024183477637,-1.0936251425589425,-1.2900495050298744
VaR 99% EVT (%),-1.5383219991838133,-1.5620690896143798,-2.86816449981878,-2.2787287236197686,-0.8339731276509191,-0.9873586544362081,-1.1738473639818419,-1.385200916921329
CVaR 99% EVT (%),-1.9590153535353685,-1.9790926422874096,-3.5594648793928902,-2.8302157161247155,-1.0453094604749162,-1.2547033541946615,-1.5268017111039462,-1.746904346238523
Coeficiente de Asimetría,-0.5475701503089315,-0.3077677361277263,-0.5294257259701198,-0.5245730947504187,-0.17340259328001958,-0.29091368821869507,-0.3683821002339749,-0.44275586521459437
Curtosis de Exceso,9.099125184459039,9.743377530834286,4.087804723901336,4.886270983611435,3.690585613923111,5.555716546801287,7.757243051074809,5.068909578801032
Rotación Anualizada (%),0.0,0.0,288.75334828922354,503.76399047004287,66.3696230413145,261.0167422012279,31.429575256658225,133.61577840431522
Nº Efectivo de Activos (N_eff),8.999999999999998,1.9230769230769234,1.3139121378739362,2.6535572482624814,1.8416443553852544,2.15985250748816,6.464185496928009,5.210414449960951
